State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,latitude,longitude,neighbours,neighbours_count,Outlier_Score_APC,Outlier_Score_LP,Outlier_Score_PDP,Outlier_Score_NNPP
NIGER,AGAIE,BARO,26-01-01-001,AKWANO,164,541,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,77,0,87,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86521/result_71029_1677763069_thumb.jpg,8.590557,6.4234802,['TWAKI (26-13-01-014)'],1,35,0,11,3
NIGER,AGAIE,BARO,26-01-01-003,BARO I,148,429,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,95,0,37,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86523/result_71031_1677763466_thumb.jpg,44.3053476,17.5961467,No neighbours within 15 km,0,,,,
NIGER,AGAIE,BARO,26-01-01-004,BARO II,148,429,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,88,0,106,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86523/result_71031_1677763466_thumb.jpg,-29.9132426,-71.2493739,No neighbours within 15 km,0,,,,
NIGER,AGAIE,BARO,26-01-01-005,ESSUN,329,803,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,109,0,206,11,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86525/result_71033_1677763764_thumb.jpg,60.17757105,24.69706015,No neighbours within 15 km,0,,,,
NIGER,AGAIE,BARO,26-01-01-006,EVUNTAGI,281,531,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,175,0,95,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86526/result_71034_1677764051_thumb.jpg,9.516667,6.15,"['PATIGI - LIMAN (26-08-06-008)', 'LEGBOZUKUN (26-08-09-004)', 'BIDAFU (26-08-10-001)', 'GUDUDZURU (26-08-10-010)', 'KANKO (26-13-06-014)']",5,103.4,0,2.2,2.4
NIGER,AGAIE,BARO,26-01-01-013,MAKWAGI,51,161,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,0,34,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86533/result_71041_1677765022_thumb.jpg,30.1365254,31.2126055,No neighbours within 15 km,0,,,,
NIGER,AGAIE,BARO,26-01-01-014,ZAGO,228,943,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,148,0,70,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86534/result_71042_1677765145_thumb.jpg,12.3497,8.4698,No neighbours within 15 km,0,,,,
NIGER,AGAIE,BOKU,26-01-02-001,BOKU,360,881,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,175,0,163,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86535/result_71047_1677579009_thumb.jpg,40.3755885,49.8328009,No neighbours within 15 km,0,,,,
NIGER,AGAIE,BOKU,26-01-02-003,EDOKO,0,605,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,57,0,41,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86537/result_71049_1677579405_thumb.jpg,55.7575727,37.6584399,"['NAMI (26-01-02-009)', 'MOW QUARTERS (26-04-06-017)']",2,27.5,2.5,6.5,0.5
NIGER,AGAIE,BOKU,26-01-02-006,JIPO,273,866,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,142,0,4,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86540/result_71052_1677579824_thumb.jpg,-7.1837918,112.1201588,No neighbours within 15 km,0,,,,
NIGER,AGAIE,BOKU,26-01-02-008,MANFARA,137,293,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,65,0,72,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86542/result_71054_1677579950_thumb.jpg,9.1017903,6.4238875,"['ETSUGAIE (26-01-07-003)', 'EKPAGI (26-01-08-005)', 'TSADZA (26-01-09-009)', 'SUDUGI (26-12-10-011)']",4,3,0.25,9,4.75
NIGER,AGAIE,BOKU,26-01-02-009,NAMI,232,854,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,139,0,71,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86543/result_71055_1677580067_thumb.jpg,55.84809475,37.54265674,['EDOKO (26-01-02-003)'],1,82,0,30,0
NIGER,AGAIE,BOKU,26-01-02-010,KUNGURU,156,375,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,59,0,95,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86544/result_71056_1677580165_thumb.jpg,1.6,33.65,No neighbours within 15 km,0,,,,
NIGER,AGAIE,EKOWUGI,26-01-05-011,OLD POST OFFICE,267,654,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,97,1,131,14,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86571/result_71095_1677581555_thumb.jpg,-37.5613671,143.8581206,No neighbours within 15 km,0,,,,
NIGER,AGAIE,EKOWUNA,26-01-06-001,ABUBAKAR PRIMARY SCHOOL  I,179,847,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,78,2,92,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86572/result_71098_1677580510_thumb.jpg,-6.1605756,39.1977095,"['ISLAMIYA PRIMARY SCHOOL (26-03-08-001)', 'BODI PRIMARY SCHOOL (26-10-09-019)', 'OLD DISPENSARY (26-20-06-019)']",3,3.333333333,0.666666667,65,1
NIGER,AGAIE,EKOWUNA,26-01-06-003,ABUBAKAR A.G.,0,657,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,96,1,78,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86574/result_71100_1677580731_thumb.jpg,10.1043199,13.0965617,No neighbours within 15 km,0,,,,
NIGER,AGAIE,EKOWUNA,26-01-06-010,TELEVISION,269,738,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,123,13,110,9,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86581/result_71107_1677581161_thumb.jpg,5.3672755,15.9795744,No neighbours within 15 km,0,,,,
NIGER,AGAIE,ETSUGAIE,26-01-07-002,CHATA  II,218,766,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,94,0,118,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86583/result_71116_1677755842_thumb.jpg,51.21842295,21.90002225,No neighbours within 15 km,0,,,,
NIGER,AGAIE,ETSUGAIE,26-01-07-003,ETSUGAIE,106,750,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,67,0,24,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86584/result_71117_1677663956_thumb.jpg,9.1730465,6.2859111,['MANFARA (26-01-02-008)'],1,2,0,48,3
NIGER,AGAIE,ETSUGAIE,26-01-07-007,LIMAN,174,768,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,80,0,83,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86588/result_71121_1677754329_thumb.jpg,43.984923,5.7311535,['D. LIMAN (26-14-11-009)'],1,8,0,48,4
NIGER,AGAIE,DAUACI,26-01-08-005,EKPAGI,68,838,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,20,0,38,8,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86595/result_71136_1677666810_thumb.jpg,9.0044135,6.3903709,"['MANFARA (26-01-02-008)', 'EWUGI (26-01-08-008)', 'TSADZA (26-01-09-009)']",3,45.66666667,0.333333333,48,5.666666667
